0.14899; 124.42921, -130.67170, 23.50340, 4.07286, 64.12100, -0.36439, 0.01805; -0.00216, 1.00000
0.15002; 128.46958, -133.08270, 20.26123, 4.08080, 64.88289, -0.42347, 0.01839; -0.00216, 1.00000
0.13896; 132.55719, -135.49750, 16.96315, 4.08715, 65.63380, -0.44906, 0.02320; -0.00254, 1.00000
0.16659; 137.88109, -138.61190, 12.64523, 4.09406, 66.58331, -0.53398, 0.01443; -0.00381, 0.89164
0.16619; 142.66946, -141.38570, 8.74210, 4.10014, 67.21702, -0.56908, 0.00490; -0.00718, 0.62902
0.14971; 146.88123, -143.80170, 5.29217, 4.10679, 67.33827, -0.56485, -0.00332; -0.00718, 0.62902
0.15120; 151.68705, -146.52300, 1.33106, 4.11738, 67.01126, -0.51215, -0.01165; -0.01455, 0.15996
0.14928; 155.85723, -148.84280, -2.13433, 4.13015, 66.33594, -0.45217, -0.01517; -0.01455, 0.15996
0.16811; 161.09652, -151.68360, -6.53661, 4.15163, 63.94256, -0.36561, -0.01581; -0.02101, 0.00000
0.16126; 165.46293, -153.97070, -10.25611, 4.17415, 58.75727, -0.29721, -0.01303; -0.02317, 0.33355
0.17038; 169.64532, -156.07470, -13.87074, 4.19980, 58.32840, -0.24956, -0.00732; -0.02317, 0.33355
0.16783; 174.37108, -158.33070, -18.02324, 4.23308, 59.20362, -0.28647, -0.02968; -0.02312, 1.00000
0.16605; 178.64365, -160.24780, -21.84157, 4.26538, 60.15002, -0.20510, -0.00548; -0.02139, 1.00000
0.16808; 182.98337, -162.07070, -25.77987, 4.29849, 61.08125, -0.21852, 0.01538; -0.01788, 1.00000
0.14826; 187.38908, -163.79450, -29.83435, 4.33038, 61.99801, -0.30839, 0.03123; -0.01415, 0.85453
0.16676; 191.84951, -165.41820, -33.98874, 4.35939, 62.63490, -0.41639, 0.01600; -0.01101, 0.78203
0.15904; 196.34901, -166.94480, -38.22135, 4.38464, 63.11552, -0.50452, 0.03189; -0.00953, 0.32513
0.14062; 200.28843, -168.20000, -41.95546, 4.40376, 62.79356, -0.62291, 0.03795; -0.00881, 0.21658
0.16703; 205.31086, -169.70290, -46.74775, 4.42493, 62.11014, -0.79601, 0.00900; -0.00957, 0.34723
0.14964; 209.18624, -170.79380, -50.46642, 4.43985, 61.78888, -0.82706, 0.01270; -0.01388, 0.09906
0.16803; 213.57380, -171.95660, -54.69709, 4.45775, 60.98267, -0.87206, 0.01086; -0.01765, 0.00000
0.16480; 218.25419, -173.10240, -59.23506, 4.48004, 55.86801, -0.90531, 0.00459; -0.02292, 0.00000
0.15812; 221.62862, -173.85640, -62.52418, 4.49937, 52.62955, -0.91093, -0.00106; -0.02738, 1.00000
0.17470; 225.79073, -174.68070, -66.60384, 4.52890, 52.09711, -0.89823, -0.00690; -0.03095, 1.00000
