0.12511; 59.84878, -86.87627, 70.81834, 3.88404, 47.97406, -0.19600, 0.00228; -0.00555, 1.00000
0.12283; 62.44912, -88.78738, 69.05499, 3.88931, 48.82825, -0.20159, 0.00171; -0.00580, 1.00000
0.13060; 65.09493, -90.72230, 67.25044, 3.89476, 49.67174, -0.20570, 0.00111; -0.00613, 1.00000
0.12825; 68.23844, -93.00819, 65.09257, 3.90146, 50.64262, -0.19681, 0.00099; -0.00652, 1.00000
0.12674; 70.98089, -94.99039, 63.19734, 3.90756, 51.46359, -0.19932, 0.00071; -0.00693, 1.00000
0.12886; 74.23563, -97.32747, 60.93208, 3.91520, 52.40848, -0.20163, 0.00062; -0.00771, 1.00000
0.12876; 77.07211, -99.34978, 58.94315, 3.92222, 53.20750, -0.20366, 0.00079; -0.00771, 1.00000
0.12679; 79.95114, -101.38800, 56.90981, 3.92964, 53.99658, -0.20619, 0.00114; -0.00801, 1.00000
0.12335; 83.36310, -103.78380, 54.48048, 3.93878, 54.90476, -0.21039, 0.00175; -0.00826, 1.00000
0.12222; 86.33254, -105.85080, 52.34856, 3.94698, 55.67273, -0.21544, 0.00240; -0.00827, 1.00000
0.12611; 89.34283, -107.92850, 50.17025, 3.95546, 56.43116, -0.20940, -0.00745; -0.00827, 1.00000
0.12927; 92.90587, -110.36410, 47.56966, 3.96562, 57.30408, -0.18753, -0.00340; -0.00890, 1.00000
0.12719; 96.00308, -112.45980, 45.28914, 3.97470, 58.04220, -0.17961, -0.00006; -0.00850, 1.00000
0.12333; 99.13956, -114.56110, 42.96061, 3.98400, 58.77116, -0.18129, 0.00302; -0.00850, 1.00000
0.13730; 102.84788, -117.01820, 40.18315, 3.99493, 59.61015, -0.19390, 0.00610; -0.00808, 1.00000
0.12267; 106.06787, -119.12780, 37.75047, 4.00422, 60.31971, -0.21230, 0.00815; -0.00762, 1.00000
0.17902; 110.96858, -122.29680, 34.01224, 4.01783, 61.36757, -0.24879, 0.01000; -0.00714, 1.00000
0.13267; 114.83798, -124.76410, 31.03152, 4.02813, 62.16914, -0.36903, -0.01398; -0.00669, 1.00000
0.12902; 118.19428, -126.88000, 28.42620, 4.03678, 62.84689, -0.32390, -0.00892; -0.00819, 1.00000
0.12454; 121.58662, -128.99530, 25.77412, 4.04572, 63.51598, -0.29463, -0.00457; -0.00819, 1.00000
0.11971; 125.01467, -131.10830, 23.07473, 4.05507, 64.17681, -0.27908, -0.00078; -0.00836, 1.00000
0.12432; 128.47783, -133.21690, 20.32749, 4.06482, 64.82942, -0.27535, 0.00241; -0.00857, 1.00000
0.13207; 132.56053, -135.66800, 17.06244, 4.07668, 65.52729, -0.25309, 0.01250; -0.00880, 0.96000
0.12367; 136.08885, -137.75490, 14.21747, 4.08724, 65.91033, -0.29001, 0.01300; -0.00907, 0.78220
0.12906; 140.21933, -140.15980, 10.85930, 4.09988, 66.01955, -0.33359, 0.01277; -0.00960, 0.49655
0.13187; 143.75832, -142.18640, 7.95803, 4.11103, 65.93135, -0.36866, 0.01199; -0.00960, 0.49655
0.13481; 147.87927, -144.50490, 4.55115, 4.12452, 65.77406, -0.40455, 0.01059; -0.01030, 0.46316
0.12236; 151.40339, -146.45030, 1.61265, 4.13661, 65.63986, -0.41847, 0.00887; -0.01104, 0.47081
0.13104; 155.50657, -148.66920, -1.83881, 4.15157, 65.50563, -0.44147, 0.00774; -0.01296, 0.46619
0.13292; 159.01642, -150.52480, -4.81804, 4.16527, 65.37183, -0.45770, 0.00679; -0.01296, 0.46619
0.13336; 163.10178, -152.63130, -8.31844, 4.18239, 65.20551, -0.47266, 0.00590; -0.01405, 0.45877
0.12666; 166.59512, -154.38350, -11.34056, 4.19809, 65.05902, -0.48256, 0.00544; -0.01495, 0.45561
0.12961; 170.66071, -156.36100, -14.89282, 4.21764, 64.88871, -0.49213, 0.00536; -0.01661, 0.45980
0.12251; 174.13724, -157.99540, -17.96121, 4.23543, 64.75018, -0.56148, -0.02690; -0.01661, 0.45980
0.12112; 177.60681, -159.57110, -21.05234, 4.25410, 64.62791, -0.47760, -0.01454; -0.01724, 0.47267
0.12242; 181.06347, -161.08260, -24.16101, 4.27356, 64.25492, -0.43460, -0.00383; -0.01778, 0.24262
0.12082; 184.49370, -162.52240, -27.27444, 4.29344, 63.70399, -0.42526, 0.00513; -0.01750, 0.14728
0.12952; 188.45692, -164.10890, -30.90626, 4.31671, 63.04641, -0.51952, -0.02523; -0.01653, 0.25528
