-159.29540, -19.92486, 4.25326, 62.06355, -0.24104, -0.01291, -0.02083, 0.82598
-161.22170, -23.94917, 4.28615, 62.62594, -0.22065, 0.00923, -0.01852, 0.60044
-163.24720, -28.57146, 4.32200, 62.76030, -0.29780, 0.02820, -0.01506, 0.46856
-164.91660, -32.73307, 4.35097, 62.65222, -0.42940, 0.00909, -0.01148, 0.58034
-166.66270, -37.46670, 4.37912, 62.74600, -0.50112, 0.02850, -0.00993, 0.35781
-168.28080, -42.23241, 4.40314, 62.37167, -0.64074, 0.03623, -0.00888, 0.32200
-169.61910, -46.47118, 4.42158, 61.98952, -0.79397, 0.00604, -0.01000, 0.45036
-170.87410, -50.71704, 4.43871, 61.83318, -0.81972, 0.01054, -0.01428, 0.10556
-172.17910, -55.47346, 4.45932, 60.45325, -0.86027, 0.00807, -0.01876, 0.00000
-173.19740, -59.52748, 4.48029, 56.88847, -0.88140, 0.00277, -0.02466, 0.00000
-174.06340, -63.35941, 4.50487, 53.41127, -0.88301, -0.00248, -0.02916, 0.66889
-174.86590, -67.47636, 4.53706, 52.13348, -0.83136, -0.02927, -0.03311, 1.00000
-175.52170, -71.67239, 4.57703, 53.30940, -0.75273, -0.01274, -0.03731, 0.70161
-175.95600, -75.48030, 4.61910, 53.79029, -0.73990, -0.00157, -0.04107, 0.00000
-176.21310, -79.11277, 4.66381, 48.63987, -0.82638, -0.03344, -0.04309, 0.00000
-176.29900, -82.45708, 4.70835, 45.28668, -0.77125, -0.00933, -0.04230, 1.00000
-176.21380, -86.09233, 4.75871, 45.77893, -0.79644, 0.00872, -0.03909, 1.00000
-175.97290, -89.40478, 4.80520, 46.94571, -0.86514, 0.01911, -0.03774, 1.00000
-175.50790, -93.21139, 4.85775, 48.23411, -0.96064, -0.01377, -0.03731, 1.00000
-174.91440, -96.65572, 4.90481, 49.35889, -0.97156, 0.00726, -0.03864, 1.00000
-174.14220, -100.14600, 4.95303, 50.46384, -0.99451, 0.00338, -0.03925, 0.97028
-173.04790, -104.10980, 5.00906, 51.62183, -1.07098, 0.02240, -0.04065, 0.28952
-171.88290, -107.60230, 5.05981, 51.34631, -1.18307, 0.02567, -0.04245, 0.46617
